,Unnamed: 0,APOGEE_ID_1,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
1060,1205,2M19232207+4210592,2101934630774566400,2.7217388,4995.8784,-0.028977724,0.0457877,-0.21126729,0.3917327,10.959878,11.479353,10.326091,9.513,9.025,8.948,0.043721378,84.11438000000003,0.011743906,0.033842000000000004,0.037576307,0.054449134,0.0009091830746266184,0.002451577284147133,0.0018455923125393348,0.025,0.018000000000000002,0.011,1.0127,1.0348,0.9047,0.06505,0.005480809979401197,0.029175914863904133,1.0431565,1.0504313,1.0363348,0.007048249999999939,0.018349468529855216,0.002933786056845421
2854,3113,2M18571765+4940387,2132230741664659712,2.4777386000000003,4903.4927,0.012518864,-0.14482193,-0.22776186,0.30535817,9.934327,10.451089,9.300589,8.482000000000001,8.001,7.898,0.044976294000000014,80.00034000000002,0.013660859,0.03556164,0.038893387,0.056469537,0.0002511044896102988,0.0011982756812267679,0.0011783490910866055,0.027000000000000003,0.047,0.024,1.996,2.1129,1.7231,0.19489999999999985,0.3001605369513523,0.044284230339831296,0.8148479000000001,0.8271412,0.8063058999999999,0.010417650000000035,-0.08892344936475728,0.005539907969795116
2913,3173,2M19074337+5005072,2132863961581685760,2.4583359,4721.734,-0.0028300490000000003,0.19686612,-0.08277645,0.27948654,10.969031,11.566464,10.266116,9.364,8.804,8.67,0.03636028,70.98739,0.010421709,0.026746193,0.026531713,0.03996224,0.0003805750854313228,0.0013366532714886858,0.0009211683335774713,0.019,0.021,0.024,4.6181,5.3075,4.2073,0.5501,0.6644633328639592,0.05044326125323706,1.148299,1.1588072,1.1389373999999999,0.00993489999999997,0.06005498661821671,0.0037556652754127287
2565,2809,2M19201496+4811546,2129464168549728640,2.7450838,4751.8213,0.046321675,-0.10911677,-0.048876025,0.27445996,12.393575,12.968017,11.700275,10.746,10.253,10.118,0.06484125,84.52017,0.014811649,0.031081298,0.03820716,0.053556636,0.0002069451975916792,0.0014717151549270555,0.0011315031254921506,0.026,0.032,0.018000000000000002,5.6864,6.8364,4.7775,1.0294500000000002,0.7548374061252074,0.07781338488862721,1.9638658,1.9883901,1.9431218000000001,0.02263415000000009,0.2931118071216153,0.005000783992917479
1069,1214,2M19421087+4207154,2077108860816393344,2.5412245,4814.7495,-0.008730561999999999,0.102582924,-0.139429,0.32005098,11.060415,11.662382,10.35441,9.39,8.873,8.738999999999999,0.039333735,75.28299,0.011229248,0.029639864,0.0306719,0.04550645,0.0005666592410469296,0.000960323287821918,0.0006995805456366799,0.02,0.027000000000000003,0.012,2.258,2.3469,2.1627,0.09210000000000007,0.35372393758894904,0.017749152361231202,1.1906395,1.1980812,1.1841315000000001,0.00697485000000006,0.07578028636916623,0.002543159551593823
2524,2766,2M19420737+4755072,2128692345747864320,3.0877588,4901.293,-0.021692216,0.20650327,-0.08471687,0.37161714,12.432281,12.990605,11.752736,10.842,10.374,10.264,0.054408967,84.056,0.010815857,0.029089289,0.033050597,0.047693215,0.0001676130441252699,0.001722514737593217,0.0007121858841430129,0.02,0.018000000000000002,0.017,2.6703,3.2978,2.1627,0.56755,0.4265600557561667,0.09161401671363036,1.3538818,1.3743368,1.3350573000000001,0.01963975000000005,0.13158075013308146,0.00629663487733574
2205,2418,2M19530790+4630563,2085538434204192896,2.7115207000000003,4651.3677,-0.015791262,0.26643005,-0.11797002,0.37639996,12.110367,12.795314,11.335685,10.29,9.694,9.583,0.048670813,67.90791,0.0098633785,0.024770657,0.02380316,0.03626079,0.0001588336441671334,0.0015396327113070818,0.0009131492844605127,0.024,0.016,0.016,6.9541,8.9093,5.559,1.67515,0.8422409315494155,0.10242345450085004,1.2128774,1.2316359,1.1930536,0.019291150000000017,0.08381690375658161,0.006911191894066193
1243,1398,2M19405011+4246167,2077914665397623936,2.6159544,4730.528,0.0010688119,-0.009315323,-0.16301425,0.34753579999999995,12.050064,12.661246,11.322592,10.315,9.747,9.601,0.054441098,72.085785,0.012310372,0.029974211,0.030565413,0.045489408,0.00015837648804861717,0.0012349730651173285,0.0005352097556221568,0.019,0.017,0.014,4.1930000000000005,5.3915,3.1989,1.0962999999999998,0.6225248624035683,0.1133544728093211,1.5162722000000002,1.5398893,1.4930697,0.02340980000000002,0.18077717250079114,0.0067047095943868346
16,20,2M19291057+3713306,2051722065040541440,2.7374218,5111.2905,-0.03155794,0.0051508304,-0.2132758,0.42288423,9.189635,9.675366,8.585524000000001,7.814,7.3439999999999985,7.268,0.04687643,90.29162,0.012142673,0.03694565,0.042930763,0.061261658,0.00019360951571845145,0.0015903567540898054,0.0018818059985969968,0.024,0.031,0.02,0.8943,0.9895,0.8222,0.08365,-0.0485167692477068,0.040219163049042064,0.48594440000000005,0.4910849,0.4813933,0.0048457999999999965,-0.3134134182984769,0.004328269521714806
3016,3277,2M19451166+5056486,2135391360858774656,2.83038,4906.8643,0.03942807,-0.23487885,-0.102709755,0.31947023,12.40446,12.935968,11.745096,10.844,10.345999999999998,10.257,0.064571425,86.67891999999998,0.015511895,0.036821164,0.044466328,0.062506825,0.0001521723739406067,0.0009726705112556023,0.0006522809056264122,0.021,0.018000000000000002,0.016,4.59,5.8196,3.7291,1.0452500000000002,0.6618126855372612,0.0966445527974572,1.5567886000000002,1.5793824,1.5338747,0.022753849999999944,0.1922296426986723,0.006348704963072507
546,667,2M19365211+4012061,2076531651571502208,2.5050075,4716.2017,0.23774134,-0.5654809000000001,0.07357705,-0.04898894,13.175982,13.784031,12.437183,11.459,10.845999999999998,10.763,0.06875295,76.14023,0.019502638,0.039274503,0.044327676,0.06336526599999999,0.0002570142142688248,0.0010143925221139938,0.0006994678588367886,0.021,0.019,0.02,12.7493,15.0478,9.8855,2.58115,1.105486340496805,0.0912371849694611,2.2943003,2.3253497000000003,2.2649044999999997,0.030222600000000058,0.3606502619075868,0.0057191896448642865
658,788,2M19291825+4041286,2053525298468737408,2.6328778,4702.710999999998,0.025589112,-0.051006004,-0.053602643,0.21987335,12.377326,12.940429,11.631929,10.67,10.089,9.977,0.05498062,70.87124,0.012710997,0.030179542,0.030537741,0.045532096,0.0007029804041580602,0.0020435265203067048,0.001340623286023579,0.02,0.022,0.017,6.789,8.0332,5.8506,1.0913000000000004,0.831805808674391,0.06884408638317685,1.7712838,1.7890364,1.7518622,0.018587099999999964,0.2482881506307784,0.004559617469285182
2738,2992,2M19383260+4857283,2134800338999043584,2.5039077,4607.028,0.1438239,-0.31310326,0.060497165,0.12815015,10.689879,11.273039,9.994377,9.062,8.455,8.404,0.05944932,67.24573000000001,0.01561557,0.032914013,0.03288632,0.049036782,0.00030216329861110225,0.0008855779172645127,0.0010841791094962083,0.021,0.017,0.016,9.5284,11.3536,7.6736,1.84,0.9790199804380286,0.08506721619842944,0.8464108,0.8556749,0.8365657,0.009554599999999993,-0.07241880377949395,0.004904369325516217
