,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
673,2M19410858+4013299,5112373,295.28579,40.22498,0.11351,0.00048,2.6267,2.4638,2.7851,1.5452,1.5137,1.5774,2400.3448,2385.0636,2417.8414,0.5379999999999999,0.5087,0.5649,2
674,2M19410926+4014436,5112387,295.28861,40.24546,0.12746,-0.02073,2.3862,2.2646,2.5145,1.5895,1.5576,1.6143,2455.1820000000002,2440.6191,2471.6505,0.513,0.495,0.5477,2
675,2M19411279+4012238,5112467,295.3033200000001,40.20664,0.12328,0.01317,2.4049,2.2646,2.5763,1.5898,1.5559,1.6291,2445.66,2422.0884,2468.9068,0.444,0.415,0.4881,2
676,2M19412147+4013573,5112730,295.33948,40.23259,0.13890999999999998,-0.00678,2.699,2.541,2.9589,1.528,1.4866,1.5702,2367.9061,2352.3396,2383.6415,0.5164,0.485,0.5411,2
677,2M19412915+4013040,5112938,295.37146,40.2178,0.11858,0.00847,2.3454,2.231,2.4824,1.5964,1.5648,1.6216,2419.4687,2404.4734,2434.9308,0.5188,0.495,0.5496,2
678,2M19413027+4015218,5112974,295.37614,40.25606,0.10862,-0.00074,3.543,2.9655,4.1197,1.4009,1.3365,1.4934,2205.7952,2180.2185,2260.7167,0.5673,0.4603,0.6049,2
679,2M19503643+4017276,5123226,297.65183,40.29102,0.15875,-0.001,5.3246,4.7424,6.2379,1.2305,1.1651,1.2763,1217.4446,1204.3147,1228.8663,0.349,0.3043,0.3849,2
680,2M19545270+4015091,5128171,298.71961,40.25253,0.13432,0.00282,1.6525,1.5353,1.7175,1.8136,1.7864,1.8983,755.2535,748.1005,762.9249,0.2999,0.245,0.3463,2
681,2M19553674+4016323,5129011,298.90312,40.27566,-0.0021100000000000003,0.02216,2.838,2.605,3.0551,1.472,1.4387,1.5111,1395.2456,1385.2876,1404.3774,0.6284,0.595,0.6629,2
682,2M19554693+4015394,5129236,298.94554,40.26095,0.37907,-0.00288,8.0899,6.5313,10.1379,1.1431,1.0759,1.2188,1005.6528,994.2602,1015.6262,0.83,0.7677,0.8849,1
683,2M18560719+4022542,5165979,284.02996,40.38173,0.07558,-0.02188,4.1485,3.2734,5.1525,1.3403,1.2558,1.4254,1652.5736,1628.6582,1676.8005,0.4643,0.395,0.5341,1
684,2M18561913+4018482,5166068,284.07973,40.31342,-0.34424,0.18644,10.5322,8.3637,13.3319,0.9749,0.9078,1.0303,1543.3979,1521.5982,1568.4973,0.3024,0.235,0.3803,1
685,2M19005636+4021518,5168382,285.23486,40.3644,-0.23344,0.05069,10.8321,8.4684,13.3371,0.9790000000000001,0.9078,1.0252,583.1953,574.7777,592.0663,0.0725,-0.005,0.1378,1
686,2M19013001+4018434,5168713,285.37507,40.31208,-0.28863,0.0738,9.7089,8.2224,11.3497,0.9921,0.9433,1.0375,1254.5904,1241.7381,1269.0575,0.3457,0.305,0.3941,1
687,2M19075054+4018279,5172229,286.96062,40.30777,-0.24175,0.04673,5.0493,4.121,5.9576,1.2219,1.1481,1.2819999999999998,640.7712,633.1403,648.3193,0.2417,0.2094,0.3049,1
688,2M19123289+4019038,5175152,288.13706,40.31773,-0.02,-0.01215,0.7062,0.5957,0.862,2.4394,2.2802,2.5755,975.9303,960.2626,989.6536,0.1696,0.1018,0.2449,2
689,2M19131222+4019167,5175621,288.30095,40.32133,0.00085,0.02302,8.5498,7.2845,10.3479,1.0829,1.0279,1.138,667.7554,659.9332,676.2723,0.10300000000000001,0.0594,0.1549,1
690,2M19142787+4022324,5176520,288.61617,40.37569000000001,-0.20792,0.02553,7.0352,5.6885,8.9967,1.1086,1.0232,1.1572,1440.2444,1419.221,1460.4494,0.2205,0.155,0.2907,1
691,2M19144395+4019183,5176709,288.68315,40.32177,-0.05448,-0.00292,4.4822,3.5892,5.6752,1.2835,1.1967,1.3562,1609.1494,1586.7186,1633.3493,0.2974,0.225,0.3635,1
692,2M19223798+4018088,5183325,290.65826,40.30246,0.1049,0.02725,9.0748,6.8391,11.7355,1.095,1.0102,1.1693,945.9667,930.0364,962.6589,0.1317,0.065,0.2342,1
693,2M19232643+4019386,5183935,290.86016,40.3274,-0.11448,0.0061600000000000005,2.0180000000000002,1.8685,2.162,1.6142,1.5994,1.6831,1012.4166,1004.8701,1022.0714,0.2409,0.195,0.2861,2
694,2M19234842+4020362,5184199,290.95179,40.34341,0.10186,-0.00053,1.0406,1.0093,1.0590000000000002,1.9998,1.9951,2.0252,623.6761,620.1545,627.3121,0.2385,0.2168,0.2549,2
695,2M19350864+4018241,5193840,293.78602,40.3067,0.05641,-0.00391,1.1158,0.9904,1.1347,2.0001,1.986,2.1226,2040.9169,2020.6916,2058.3892,0.2989,0.2644,0.3449,2
696,2M19351305+4020438,5193912,293.80441,40.34552,-0.24207,0.19247,10.0555,8.0668,13.0261,0.9794,0.9390000000000001,1.0665,1419.7964,1397.9769,1441.7595,0.2303,0.155,0.3056,1
697,2M19372689+4021276,5196152,294.36206,40.35769000000001,-0.00265,0.0043100000000000005,4.8729,3.8672,6.0931,1.2595,1.1857,1.3426,1041.8653,1026.8334,1057.8139999999999,0.1939,0.132,0.2749,1
698,2M19373657+4023215,5196300,294.40242,40.38932,0.33322,0.01133,3.9886,3.3497,5.1505,1.3936,1.3001,1.4631,844.7568,832.8752,856.0244,0.2371,0.1711,0.2951,1
699,2M19424381+4021595,5201670,295.68258,40.36653,0.27069,0.015580000000000004,6.4687,4.9545,7.9004,1.2243,1.1526,1.3119999999999998,1234.9507,1215.9901,1254.5497,0.3947,0.335,0.4819,1
700,2M19463874+4023341,5206349,296.66142,40.39283,-0.63295,0.08607999999999999,9.2749,7.449,11.6108,0.9819,0.9246,1.047,1213.098,1195.3634,1230.3216,0.2376,0.1725,0.3048,1
701,2M19473052+4023545,5207415,296.8771799999999,40.39848,-0.19179,0.08101,4.8147,3.8459,6.1667,1.2419,1.1481,1.3064,1664.067,1638.7022,1689.5498,0.6567,0.5691,0.7149,1
702,2M19510245+4018183,5211720,297.76024,40.30509,0.06615,0.00588,2.2805,2.0654,2.4403,1.6026,1.5703,1.6732,1287.0434,1277.5558,1295.6543,0.3895,0.365,0.4399,2
703,2M19510257+4018044,5211724,297.76071,40.30125,-0.43895,0.05756,6.7098,5.3088,8.228,1.0833,1.0232,1.1571,1455.9677,1437.1427,1477.5809,0.4473,0.37200000000000005,0.4949,1
704,2M19523352+4019458,5213512,298.13968,40.32941,-0.28517,0.052320000000000005,2.3078,2.2131,2.4117,1.5069,1.4869999999999999,1.5275,2310.6393,2295.4079,2325.3303,0.8831,0.8579,0.9151,2
705,2M19530285+4019286,5214140,298.26188,40.32461,-0.31974,0.21108,10.9993,8.6099,13.8388,0.9925,0.9144,1.0374,1614.6024,1590.3765,1639.7058,0.6493,0.5768,0.7249,1
