,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
34,2M19300107+3717340,1726211,292.50447,37.29278,-0.5329,0.25785,4.4646,3.6728,5.7352,1.2116,1.1168,1.296,1274.6533,1256.0012,1292.6612,0.2031,0.155,0.2696,2
35,2M19300260+3715187,1726245,292.51087,37.25521,0.13602,0.00093,2.1252,2.0399,2.2126,1.6575,1.6292,1.6828,1425.5797,1417.4245,1435.147,0.4321,0.4063,0.4648,2
36,2M19300513+3717470,1726291,292.52139,37.296409999999995,-0.34123000000000003,0.18947,10.1218,8.0353,12.8233,0.9791,0.9228,1.0471,1169.8991,1152.126,1187.8505,0.4291,0.3483,0.495,1
37,2M19215572+3722208,1864183,290.48217,37.37245,0.1998,0.007670000000000001,7.663,6.8391,9.1909,1.1392,1.0964,1.1982,954.7203,945.1482,964.6383,0.2428,0.205,0.2924,1
38,2M19223280+3720441,1864855,290.63667000000004,37.3456,0.0019399999999999999,-0.00256,4.1705,3.3497,5.2743,1.3062,1.2359,1.3987,836.256,823.6069,848.1799,0.3033,0.2338,0.3749,1
39,2M19225594+3722386,1865262,290.73312000000004,37.3774,-0.25379,0.08539,6.2026,4.9545,7.9197,1.1571,1.0526,1.1966,1658.4877,1631.8113,1680.7597,0.42,0.345,0.4858,1
40,2M19231500+3723566,1865595,290.81253,37.39906,-0.07293,0.03358,9.1321,6.8391,11.987,1.0453,0.9678,1.1323,1700.7871,1669.168,1734.8724,0.3815,0.295,0.4722,1
41,2M19232346+3722342,1865747,290.84778,37.37619,0.04141,-0.00815,4.1009,3.2908,5.1858,1.3246,1.2513,1.4189,778.6727,766.4784,790.4091,0.2764,0.195,0.3429,1
42,2M19251940+3718402,1867706,291.33087,37.31119,0.17732,-0.008440000000000001,2.7451,2.1627,3.3319,1.5323,1.4427,1.6291,889.4924,876.4356,902.5773,0.622,0.545,0.684,1
43,2M19253987+3722022,1868101,291.41614,37.36728,0.322,0.0047,8.4819,7.4989,9.7176,1.0941,1.0456,1.1375,1320.0831,1308.2778,1331.9417,0.7664,0.725,0.7881,2
44,2M19273132+3720509,1870196,291.8805,37.34748,0.02675,0.01879,5.9462,4.7315,7.5264,1.1948,1.1204,1.2704,1058.089,1041.1179,1074.0982,0.3681,0.285,0.4335,1
45,2M19282389+3723239,1871314,292.09958,37.39,0.35328000000000004,0.03267,7.1553,4.4157,7.5645,1.2005,1.1802,1.3705,2291.054,2225.3581,2325.3425,0.4727,0.375,0.5553,1
46,2M19285600+3723192,1871927,292.23334,37.38868,0.19937,0.02025,7.1409,5.7332,9.2225,1.1808,1.0939,1.2472,1661.8183,1634.9332,1687.7039,0.4392,0.355,0.5066,1
47,2M19290894+3719028,1872166,292.28729,37.31746,0.08632999999999999,-0.02113,1.0819,0.9922,1.161,2.0598,1.9951,2.1526,1397.1158,1382.8337,1410.8735,0.3799,0.345,0.4412,2
48,2M19292379+3718156,1872469,292.34915,37.30434,0.1455,0.030260000000000002,8.4822,5.6416,9.4383,1.1094,1.0814,1.2462,2317.4413,2282.9684,2372.2102,0.3902,0.3348,0.525,1
49,2M19292584+3718503,1872517,292.3577,37.31398,-0.28415,0.16925,12.5165,9.8855,16.1543,0.9265,0.8719,0.9953,2402.2515,2364.0136,2440.5473,0.4094,0.3218,0.4748,1
50,2M19301911+3720339,1873510,292.57966,37.34277,-0.64318,0.19710999999999998,5.4776,4.2697,6.5297,1.1223,1.0567,1.2188,4698.0468,4639.8089,4768.7465,0.3692,0.305,0.4187,2
51,2M19042363+3729046,1995358,286.09846,37.484609999999996,-0.29457,0.04924,6.945,5.6846,9.8829,0.9796,0.9418,1.1086,2657.035,2621.1987,2732.8041,0.2744,0.205,0.3525,2
52,2M19050006+3728563,1995859,286.25025,37.48231,-0.10687,0.01722,2.111,1.9503,2.2639,1.595,1.5542,1.6291,1156.0313,1146.8323,1166.7558,0.2389,0.205,0.2942,2
53,2M19051489+3729091,1996078,286.31207,37.48587,-0.05587,0.01053,5.7864,4.6238,7.3551,1.1935,1.1117,1.2605,1862.7205,1834.4253,1890.6259,0.2789,0.195,0.3422,1
54,2M19053929+3725383,1996415,286.41372,37.42732,0.17160999999999998,0.05036,9.1924,7.1845,11.3507,1.0859,1.0254,1.164,1470.4057,1449.3054,1494.4782,0.3177,0.255,0.4008,1
55,2M19225839+3728552,2011582,290.74329,37.482009999999995,0.41013999999999995,0.0344,1.1523,1.013,1.4283,2.254,2.026,2.3225,2315.3802,2285.7033,2346.8633,0.5169,0.4467,0.5548,2
56,2M19231796+3728151,2011891,290.82484,37.47087,0.30767,0.0036,6.5666,5.3088,8.2413,1.1916,1.1481,1.2978,879.6413,866.4631,892.2383,0.2731,0.215,0.3511,1
57,2M19244585+3729385,2013502,291.19104,37.494040000000005,0.04247,-0.01739,1.4514,1.3515,1.4958,1.86,1.8364,1.9494,1572.1208,1558.5475,1586.6684,0.5716,0.535,0.6316,2
58,2M19265758+3728035,2015820,291.73994,37.46765,0.0368,-0.00884,2.518,2.1135,2.7905,1.5385,1.4927,1.6443,621.1503,615.8853,626.9978,0.1319,0.1061,0.2048,2
59,2M19274515+3727100,2016676,291.93815,37.45279,0.05681,-0.00025,0.9633,0.881,1.072,2.1338,2.0229,2.2069,1301.2685,1287.33,1313.6686,0.4327,0.395,0.4762,2
60,2M19274667+3727398,2016706,291.9445,37.461059999999996,-0.03236,-0.00898,3.8415,3.5892,4.4587,1.3217,1.2659,1.355,934.3806,927.3848,942.9487,0.3567,0.3154,0.3949,2
61,2M19275725+3725189,2016978,291.98854,37.421929999999996,0.07243,0.028710000000000003,7.3788,5.821,9.2781,1.1336,1.0682,1.2132,1857.4286,1830.2061,1885.099,0.4031,0.3316,0.4749,1
62,2M19282778+3725510,2017541,292.11577,37.430859999999996,0.14054,0.019969999999999998,7.0304,5.0699,9.92,1.1737,1.0586,1.2821,1575.9623,1539.0401,1616.1483,0.4452,0.3284,0.545,1
63,2M19290899+3726467,2018283,292.28749,37.446329999999996,0.22182,-0.00594,4.9655,4.0272,6.3441,1.2796,1.2133,1.3743,1305.2722,1283.8075,1323.1571,0.4701,0.3928,0.535,1
64,2M19291520+3729271,2018392,292.31334,37.49089,-0.08173,0.015080000000000001,4.99,3.8797,6.2374,1.2387,1.1605,1.3241,1493.8634,1470.6182,1516.6258,0.3819,0.315,0.4613,1
65,2M19292262+3728081,2018537,292.34429,37.46894,0.25625,-0.00058,4.8032,3.8994,6.0937,1.3018,1.2341,1.393,1068.4473,1053.1738,1084.6208,0.4645,0.3966,0.5349,1
66,2M19034433+3734348,2140446,285.93474,37.57635,0.30245,0.01351,7.2957,5.7624,8.8076,1.186,1.1271,1.2683,1136.3982,1123.3108,1150.024,0.3033,0.255,0.3525,1
67,2M19045244+3731146,2141255,286.21853,37.52075,-0.19361,0.03129,6.3493,5.0699,8.0333,1.1448,1.0536,1.1912,1286.3337,1267.0387,1304.6349,0.2401,0.184,0.3248,1
68,2M19054142+3731262,2141928,286.42259,37.52397,0.16704000000000002,0.0049299999999999995,7.1756,5.9566,8.6124,1.114,1.0546,1.1802,941.3201,930.0364,953.5352,0.2405,0.205,0.3046,2
69,2M19054160+3732430,2141932,286.42335,37.54529,0.29073000000000004,0.02482,10.0521,7.9396,13.0282,1.053,1.0015,1.1533,2780.7698,2732.1849,2828.012,0.2681,0.1925,0.3449,1
70,2M19214745+3730572,2155869,290.44774,37.51591,0.19505999999999998,-0.00474,3.3391,2.6607,4.2024,1.4571,1.3567,1.5416,1582.4846,1557.7578,1605.2327,0.3219,0.265,0.4059,1
71,2M19220462+3731316,2156178,290.51929,37.52545,-0.49355,0.18411,12.8236,8.845,17.1818,0.8817,0.8221,0.9637,632.7886,621.5842,644.5972,0.1337,0.0765,0.1949,2
72,2M19225665+3732517,2157059,290.73605,37.547709999999995,-0.15325,0.14905,8.5534,6.6834,10.9672,1.0744,0.9953,1.1411,2826.0242,2781.7617,2873.9873,0.4579,0.3823,0.5348,1
73,2M19232744+3734298,2157650,290.86436000000003,37.57496,0.15617,-0.0055899999999999995,5.1111,4.121,6.5137,1.2746,1.1912,1.3492,1518.1926,1495.5465,1539.8616,0.372,0.295,0.4336,1
74,2M19253124+3733144,2159864,291.38018999999997,37.55402,-0.09656,-0.00033999999999999997,2.1012,1.7422,2.7219,1.5546,1.4654,1.6597,2361.9858,2325.412,2397.1696,0.4686,0.395,0.5406,1
