# Andrea 07-Jul-2020 15:51:38
APOGEE_ID, KIC, RA, DEC, FE_H, A_FE, age, age_68L, age_68U, mass, mass_68L, mass_68U, dist, dist_68L, dist_68U, Av, Av_68L, Av_68U, evstate 
  2M19072299+3747068        2424934  286.84582   37.78525   -0.10706    0.04096    6.84460    3.78970    7.49910    1.10780    1.06000    1.31810  869.87020  854.08300  929.77130    0.16080    0.09500    0.35130    2
  2M19072522+3746459        2424955  286.85511   37.77943   -0.02346    0.01956    8.36720    6.28350    9.88300    1.09370    1.03750    1.17310  770.48700  761.20220  781.18450    0.18990    0.12500    0.24070    1
  2M19081771+3745467        2425631  287.07381   37.76298   -0.05246    0.00481    3.45440    2.70770    4.31330    1.39740    1.30010    1.48410 1429.77320 1407.66740 1453.68480    0.24170    0.17630    0.32500    1
  2M19201973+3746549        2435987  290.08222   37.78194    0.38341    0.05082    8.13870    6.40910   10.11300    1.14820    1.09520    1.24180 4116.32070 4053.77830 4173.56370    0.59130    0.53500    0.66960    1
  2M19202870+3743169        2436209  290.11959   37.72138    0.42788    0.05075    7.70600    7.16140    9.35750    1.16940    1.10330    1.19110 4194.13420 4154.32000 4235.61340    0.50740    0.46230    0.54490    1
  2M19203485+3746298        2436417  290.14525   37.77497    0.41825    0.05661    9.96390    8.63580   11.34560    1.04200    1.00450    1.09590 4167.92570 4126.48230 4211.95270    0.55910    0.52500    0.59900    2
  2M19204102+3743025        2436688  290.17094   37.71737    0.42510    0.02921    8.88580    7.02100   11.08810    1.11680    1.05190    1.19580 4173.72500 4106.95600 4231.56380    0.51360    0.46050    0.59480    1
  2M19204517+3744339        2436900  290.18823   37.74276    0.39931    0.05721   10.03290    7.85230   12.23750    1.08140    1.01670    1.15100 4121.45990 4062.84330 4182.97920    0.49470    0.43360    0.56480    1
  2M19204765+3747322        2437040  290.19856   37.79230    0.43245    0.03680    7.77480    6.08840    9.65780    1.16410    1.09610    1.24720 4173.45380 4106.76660 4238.79930    0.52350    0.46500    0.60500    1
  2M19205003+3747282        2437191  290.20847   37.79117    0.15622    0.02465    7.07240    5.55900    8.95510    1.16350    1.09140    1.24430 1177.33480 1158.59040 1195.38280    0.36720    0.29500    0.44540    1
  2M19205259+3744281        2437340  290.21915   37.74116    0.42295    0.04479   18.18280   14.35820   24.82350    0.91600    0.84330    0.98110 3775.81190 3707.83180 3850.20230    0.56830    0.48500    0.65510    1
  2M19205287+3745331        2437353  290.22033   37.75921    0.40761    0.04154    8.50300    7.67360   10.04740    1.09380    1.04300    1.11170 4090.67740 4050.41840 4133.67430    0.50030    0.46370    0.53490    2
  2M19205530+3743152        2437507  290.23044   37.72090    0.45321    0.06084    8.51770    6.85960   10.83610    1.13250    1.06160    1.20690 4184.43450 4116.23210 4246.02290    0.54190    0.47820    0.61490    1
  2M19205629+3744334        2437564  290.23458   37.74262    0.44360    0.05344    7.80240    6.99840    8.93850    1.12140    1.07820    1.16400 4255.01320 4219.00460 4290.27380    0.53900    0.50640    0.56490    2
  2M19205862+3747404        2437692  290.24429   37.79458    0.21217   -0.01634    2.36430    2.26460    2.43140    1.61240    1.59200    1.63660 1277.66690 1269.11210 1284.23780    0.30790    0.27500    0.32850    2
  2M19210086+3745339        2437804  290.25359   37.75942    0.45842    0.03844    9.43000    7.67010   11.34570    1.06540    0.99530    1.13230 4168.77150 4116.23390 4227.84670    0.59340    0.54500    0.64080    2
  2M19210112+3742134        2437816  290.25467   37.70374    0.42203    0.04841    9.89550    7.76430   12.15840    1.08150    1.02790    1.16660 4122.53700 4059.75580 4186.22670    0.54100    0.48220    0.61490    1
